2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
sh.600548,sh.600549,sh.600597,sh.600588,sh.600597,sh.600690,sh.600804,sh.600811,sh.600873,sh.601009,sh.600959,sh.601088,sh.601088,sh.601088,sh.601225,sh.601377,sh.601688
sh.600549,sh.600550,sh.600598,sh.600595,sh.600598,sh.600694,sh.600809,sh.600827,sh.600875,sh.601016,sh.600999,sh.601099,sh.601108,sh.601108,sh.601229,sh.601390,sh.601698
sh.600550,sh.600569,sh.600600,sh.600596,sh.600600,sh.600703,sh.600811,sh.600832,sh.600880,sh.601018,sh.601006,sh.601111,sh.601111,sh.601111,sh.601231,sh.601398,sh.601728
sh.600569,sh.600583,sh.600601,sh.600597,sh.600601,sh.600717,sh.600812,sh.600837,sh.600886,sh.601021,sh.601009,sh.601117,sh.601117,sh.601117,sh.601236,sh.601555,sh.601766
sh.600578,sh.600585,sh.600611,sh.600598,sh.600611,sh.600718,sh.600827,sh.600839,sh.600887,sh.601088,sh.601018,sh.601118,sh.601138,sh.601138,sh.601238,sh.601600,sh.601788
sh.600581,sh.600588,sh.600616,sh.600600,sh.600631,sh.600737,sh.600832,sh.600859,sh.600893,sh.601098,sh.601021,sh.601155,sh.601155,sh.601155,sh.601288,sh.601601,sh.601799
sh.600583,sh.600591,sh.600628,sh.600601,sh.600635,sh.600739,sh.600837,sh.600863,sh.600900,sh.601099,sh.601088,sh.601163,sh.601166,sh.601162,sh.601318,sh.601607,sh.601800
sh.600585,sh.600596,sh.600631,sh.600611,sh.600642,sh.600741,sh.600839,sh.600873,sh.600998,sh.601106,sh.601099,sh.601166,sh.601169,sh.601166,sh.601319,sh.601618,sh.601808
sh.600588,sh.600597,sh.600635,sh.600616,sh.600643,sh.600779,sh.600859,sh.600875,sh.600999,sh.601111,sh.601111,sh.601169,sh.601186,sh.601169,sh.601328,sh.601628,sh.601816
sh.600591,sh.600598,sh.600638,sh.600631,sh.600649,sh.600795,sh.600863,sh.600886,sh.601006,sh.601117,sh.601118,sh.601186,sh.601198,sh.601186,sh.601336,sh.601633,sh.601818
sh.600597,sh.600600,sh.600639,sh.600635,sh.600655,sh.600804,sh.600873,sh.600887,sh.601009,sh.601118,sh.601127,sh.601198,sh.601211,sh.601198,sh.601360,sh.601658,sh.601825
sh.600598,sh.600601,sh.600642,sh.600638,sh.600657,sh.600808,sh.600875,sh.600893,sh.601018,sh.601158,sh.601155,sh.601211,sh.601212,sh.601211,sh.601377,sh.601668,sh.601838
sh.600600,sh.600616,sh.600643,sh.600639,sh.600660,sh.600809,sh.600881,sh.600895,sh.601088,sh.601166,sh.601166,sh.601212,sh.601216,sh.601212,sh.601390,sh.601669,sh.601857
sh.600601,sh.600628,sh.600649,sh.600642,sh.600663,sh.600811,sh.600887,sh.600900,sh.601098,sh.601169,sh.601169,sh.601216,sh.601225,sh.601216,sh.601398,sh.601688,sh.601865
sh.600602,sh.600631,sh.600653,sh.600643,sh.600664,sh.600812,sh.600893,sh.600970,sh.601111,sh.601179,sh.601186,sh.601225,sh.601228,sh.601225,sh.601555,sh.601696,sh.601868
sh.600616,sh.600635,sh.600655,sh.600649,sh.600674,sh.600823,sh.600895,sh.600971,sh.601117,sh.601186,sh.601198,sh.601228,sh.601229,sh.601229,sh.601577,sh.601698,sh.601877
