,add,intersection
2019-08-14,-0.0015045015895216365,0.0007532124536792994
2019-08-15,-0.00028143558118656666,0.002184172070951896
2019-08-16,-0.00018117274242086448,0.003069174742639122
2019-08-19,-3.521749632616774e-06,4.077299381580535e-05
2019-08-20,-5.1956920582279305e-06,0.0021421508244678627
2019-08-21,7.261034128876333e-05,0.0
2019-08-22,-0.00027987229890229627,0.0
2019-08-23,8.798661873152926e-05,2.5996336590155876e-05
2019-08-26,-7.670712031191936e-05,-2.7457425219428778e-05
2019-08-27,0.0006016539580898509,-2.8133297973760324e-05
2019-08-28,-0.00035200934861259644,0.0
2019-08-29,-0.0001167994144004875,0.0
2019-08-30,-0.0002439386459931717,0.0
2019-09-02,0.0001515192445037378,-9.922777861571207e-05
2019-09-03,-5.270914470638733e-05,-0.00010894036526427836
2019-09-04,0.001261815599058954,-1.0851277880593827e-06
2019-09-05,-5.637648382155416e-05,2.208337392501152e-06
2019-09-06,9.38669716062661e-06,-0.00016091922613516944
2019-09-09,0.0004040903754605546,0.0
2019-09-10,7.621439534990507e-05,0.0
2019-09-11,-5.175671837462657e-05,-8.645250690685163e-06
2019-09-12,3.407533592153877e-05,0.0
2019-09-16,-1.966309703662844e-05,0.0
2019-09-17,-0.0001997415452356934,0.0
2019-09-18,-0.0005551120337126361,-0.00017727310621961986
2019-09-19,-0.00010766009110255961,0.0
2019-09-20,-0.00015047347557354895,8.523101200116914e-05
2019-09-23,-0.00031886028253099005,-8.703241284720292e-05
2019-09-24,-0.0004600586166047378,-2.777771983922208e-05
2019-09-25,-0.0005337268350784116,-0.0008108545833589323
2019-09-26,-0.0008624280224997745,-5.5142385507636306e-05
2019-09-27,-0.000821325702545457,-0.0007903377620785394
2019-09-30,-0.0003017917345725214,-0.0017723381211101582
2019-10-08,-5.955793977131135e-05,-0.0006000537746440067
2019-10-09,1.3291732192931374e-05,-0.00023011296791255643
2019-10-10,2.269218506385468e-05,-0.0001519639076427038
2019-10-11,9.915575766871994e-05,0.00021571700074130912
2019-10-14,9.150907543608002e-05,1.790093774862663e-05
2019-10-15,0.0004486773382373414,0.0
2019-10-16,-5.455762840539926e-05,0.0
2019-10-17,6.214701423174615e-05,0.0007101485796563307
2019-10-18,4.501739124085459e-06,-4.7833651431073995e-05
2019-10-21,0.0031818844528284994,0.000517745358367314
2019-10-22,0.0011733888906867891,-0.0006045325853159377
2019-10-23,-0.0002779928761822652,-0.0006416627418884381
2019-10-24,0.001851616174552129,0.007060419254893346
2019-10-25,0.0010371097925518781,0.0175347403233726
2019-10-28,0.0004554370942211426,-0.00020897727317390998
2019-10-29,0.000979407098733306,0.0
2019-10-30,2.2986439027100305e-05,1.998446133663274e-05
2019-10-31,0.0012693907670208568,0.0006028650654536066
2019-11-01,-0.0001194132948443509,0.0007414507268502778
2019-11-04,-9.156824642973786e-05,0.0001567451055937589
2019-11-05,-0.0005601627128261868,2.8684904692703766e-05
2019-11-06,-0.00010740903885113692,0.0005025744970691451
2019-11-07,-1.380975339674489e-05,-3.749321692854752e-05
2019-11-08,-2.486062862747362e-05,-0.0015104938475565528
2019-11-11,-0.00037231288350046785,-2.3819936962870694e-05
2019-11-12,-0.0012909352065315998,-2.298378791823043e-05
2019-11-13,-0.0010059020491678904,-0.0001821744470134003
2019-11-14,0.01019056174309498,-0.0038846339547671657
2019-11-15,-0.000419389452789183,-0.001233811005648855
2019-11-18,0.000490643415744229,0.0029328933751456305
2019-11-19,6.314213347486216e-05,1.4274937173195296e-05
2019-11-20,-0.0003327220454173769,-0.00036079940818840514
2019-11-21,0.0001585284452510557,-4.104610430865921e-05
2019-11-22,-0.005297882200886749,-2.392182755765491e-05
2019-11-25,0.00011290456127125715,-0.00011137005215388015
2019-11-26,0.0004987771105402336,-2.498391107585685e-05
2019-11-27,-0.0018848636296705252,0.0
2019-11-28,0.01333088208335709,0.0
2019-11-29,-4.723700366986151e-05,0.009808782947551952
2019-12-02,0.0038719883569996805,0.00013312690211133443
2019-12-03,5.270374812062517e-05,-4.334077766300477e-05
2019-12-04,-0.0002489973338668118,-4.158273225347665e-05
2019-12-05,-0.00017229049567287698,0.017092602153900016
2019-12-06,-0.00013732314356729327,-0.00018135472485472193
2019-12-09,0.00010516182444729318,1.9179021744242055e-06
2019-12-10,0.007515534185537663,3.5114091555394294e-06
2019-12-11,0.00028459614726962263,0.007282693463790213
2019-12-12,-5.14962882587332e-06,-1.087086820077532e-05
2019-12-13,0.00023487399358081278,0.0002333067364154755
2019-12-16,2.0424935882492722e-05,-1.0819784259662962e-06
2019-12-17,0.00029976534209404256,-4.026049714239262e-07
2019-12-18,-1.5657801163192583e-05,0.0
2019-12-19,0.0,0.0
2019-12-20,-0.00017070628054404263,0.0
2019-12-23,-0.000525222911173177,-0.00014665917161166395
2019-12-24,-0.0001823099076431543,0.0
2019-12-25,-9.765326905943716e-05,0.0014510007638832082
2019-12-26,0.0018095256339618775,0.0025886658878025767
2019-12-27,-0.00012300858894029519,0.00030340668268653197
2019-12-30,0.0007649704290251322,-3.0761610498917586e-05
2019-12-31,0.002939189279655454,0.003533432020220185
2020-01-02,0.0005138037706265405,0.0
2020-01-03,6.620507633666874e-05,0.0
2020-01-06,-3.4390855501099955e-05,-3.1142864377340297e-06
2020-01-07,0.0,0.0004437515719684069
2020-01-08,0.0,0.0
2020-01-09,0.0002062442052943651,-2.6274257368584628e-05
2020-01-10,-8.754965656261603e-05,3.918727355059633e-06
2020-01-13,-2.680498568124542e-06,1.8410529578892625e-05
2020-01-14,-5.000251077415435e-07,0.0
2020-01-15,-0.0002761282165109506,-5.045044323207673e-05
2020-01-16,-5.108768677130706e-05,0.0
2020-01-17,-0.00012012358015337178,-0.00011244076632773941
2020-01-20,-3.603360357101326e-05,-0.00012156567278783237
2020-01-21,-0.00016181890931665609,-2.543894216220748e-05
2020-01-22,-0.0008800737761094483,-3.334940023536633e-05
2020-01-23,-0.004184945680265522,-0.002635261523381849
2020-02-03,-0.007465601472032298,-0.0016847931699579281
2020-02-04,-0.02320872089861707,-0.018597893338127235
2020-02-05,-0.0008180691125997551,-0.003468727996613232
2020-02-06,0.001094566755427816,-0.007857496723018442
2020-02-07,-8.94970474393768e-05,-0.0017485351059565626
2020-02-10,0.001590287259086816,-0.00011700695489756869
2020-02-11,0.0014419941753691407,0.0013689886835254877
2020-02-12,-2.1480245590839997e-05,0.0
2020-02-13,1.1500453235337626e-05,6.0756029224365385e-05
2020-02-14,0.0,0.0004712046354260508
2020-02-17,9.596478064403068e-05,0.0004467478169370974
2020-02-18,0.0,0.0
2020-02-19,-3.0531883130799266e-05,0.019441924841457008
2020-02-20,0.00015276315075381613,0.000835703536910158
2020-02-21,-0.0013541647347392691,0.0
2020-02-24,-4.1528123571285867e-05,-0.00011129723530989309
2020-02-25,-0.0016926239836543159,-2.285000055572792e-05
2020-02-26,-0.0008312270945479878,0.0
2020-02-27,6.191077225827383e-05,0.00012628100132019773
2020-02-28,-0.00012922033590509143,0.004327150487535441
2020-03-02,0.00044693656853495,0.00012162021090161138
2020-03-03,1.614213635161297e-05,0.0
2020-03-04,4.3991281001914845e-05,-5.297824106541108e-05
2020-03-05,0.0005876658311417314,-0.00011218792980985148
2020-03-06,0.000552332494267109,3.280971871832147e-05
2020-03-09,0.0011154427538991709,0.00034576500514499575
2020-03-10,0.0004011504384753514,0.0011371323796345882
2020-03-11,-0.0010020836743790697,4.1953954586792136e-05
2020-03-12,0.0032380707697033943,-0.00018679087718872077
2020-03-13,-0.009521620785736781,-0.0001485847308258914
2020-03-16,-0.0038973291060361297,-0.0022463664016607685
2020-03-17,-0.0013130956779688519,-0.001302087688669364
2020-03-18,0.009749531225381629,-0.017116131405130294
2020-03-19,0.000488853362057409,-0.0037242383767540077
2020-03-20,0.0017558442228177988,0.007653102670133014
2020-03-23,-0.00027912551038459745,-0.00016779881162899332
2020-03-24,0.0003473881384882259,0.001400209492301584
2020-03-25,0.00019456285373368055,0.002128138384817306
2020-03-26,0.0,-1.1972400270369123e-05
2020-03-27,0.0045347997988405084,-2.9228175588712338e-05
2020-03-30,0.0004206902452292837,0.002946043178138737
2020-03-31,-7.32129626076642e-05,0.0
2020-04-01,-8.759741956050851e-05,-0.00015702287023015014
2020-04-02,0.00010054827314598422,0.000475105825998447
2020-04-03,0.00044513480359816167,0.00022233520452562977
2020-04-07,0.0010749254785255753,0.001975902010326188
2020-04-08,-8.782618603175444e-06,0.0
2020-04-09,0.0005344683351801181,0.0
2020-04-10,-1.1760293016478917e-05,8.301629339135215e-05
2020-04-13,-2.5179497951915186e-05,0.0
2020-04-14,0.002258438624026511,0.0
2020-04-15,-5.386638299268825e-06,0.0006408900614468977
2020-04-16,-5.6406102028782844e-06,2.295299753275254e-05
2020-04-17,0.00010534413593557417,0.0
2020-04-20,6.602720114414399e-06,0.0
2020-04-21,-2.533059953715539e-06,-2.1176614349631465e-05
2020-04-22,-0.00012424344769986157,-0.00012739454069097164
2020-04-23,0.00012664759694362495,0.0
2020-04-24,0.0,-4.567407768882259e-05
2020-04-27,-6.55319833109836e-05,-0.00013188770574968392
2020-04-28,-0.00012587774226634392,0.0
2020-04-29,0.00010790896410664167,0.0
2020-04-30,-0.00011821529756210273,-7.553370316609573e-05
2020-05-06,-7.77327631848985e-05,3.111612971477004e-05
2020-05-07,-0.0012163938416453214,-0.0003392901806062496
2020-05-08,9.080068393259851e-05,-5.666579088979654e-06
2020-05-11,0.0005577183575986012,0.0
2020-05-12,-0.0001975861162794505,-3.284380645425288e-05
2020-05-13,-3.20882359084103e-07,0.0
2020-05-14,0.0,-9.128790319655139e-05
2020-05-15,-0.0001440684414396329,0.0
2020-05-18,-1.3835321178125137e-05,0.0
2020-05-19,-0.0022155768334677097,0.0
2020-05-20,-9.458894523423683e-05,0.0001924122351015581
2020-05-21,-5.5197748658966554e-05,0.000797147283421886
2020-05-22,-0.0009611108387426623,0.00018860388661201975
2020-05-25,-0.0004405484154178319,0.0
2020-05-26,0.0010950647571028728,0.0001610061519696352
2020-05-27,-0.000529408397061741,-0.0004092319678637769
2020-05-28,-0.0007929670520989206,0.000996976332708444
2020-05-29,-0.0010164747549830963,-0.0013146591021727242
2020-06-01,5.965406978152868e-05,7.034275184250152e-05
2020-06-02,-4.7547672597067435e-05,0.0012671419975999784
2020-06-03,0.0,-5.828177250382886e-05
2020-06-04,-5.757442991831516e-06,0.0
2020-06-05,-1.705429375104707e-05,0.0
2020-06-08,0.0010880453806766208,-5.429463880447539e-05
2020-06-09,1.2516739952030492e-05,1.5281019347776854e-05
2020-06-10,1.0985859857632291e-05,0.001166712888595758
2020-06-11,-0.00029880173492772167,4.185345687166974e-07
2020-06-12,-0.0019033753323948327,0.0
2020-06-15,-0.0005946037651994264,0.0
2020-06-16,-0.000614533653349283,-4.658831058155166e-06
2020-06-17,-6.134964764908684e-05,-0.00023517433541638745
2020-06-18,-0.00030737825656013536,-0.00038395435927066383
2020-06-19,0.0006798665036318777,1.7301041588950006e-05
2020-06-22,-0.007746027832224201,-0.007754347143856974
2020-06-23,-6.139165814779106e-05,0.0
2020-06-24,3.5249231106220716e-05,-1.1298193348149322e-05
2020-06-29,1.2222190934368216e-05,-0.0001235472747357232
2020-06-30,0.00017143686227427896,0.0008875595806221567
2020-07-01,-6.017864692488695e-05,0.0
