,10_20,10_30,10_60,5_20,5_30,5_60
2016-08-22,2.2044283249377706e-05,0.00012478568097687578,0.0,0.0,7.114225402389185e-05,0.0
2016-08-23,0.0006133899497939161,8.845278799018116e-05,0.0,0.0,-0.00030457813813505706,0.0
2016-08-24,0.00013172101823932423,0.00015831872310176302,0.0,0.0009655250481938738,-6.119133337168196e-06,0.0
2016-08-25,0.0,0.0,2.8703150233177142e-05,0.0,0.00011829681902227747,-2.9654751431438002e-05
2016-08-26,0.00030304644795208717,0.0,0.0,-0.00064513023774964,0.00661093093911947,0.00017502005896240027
2016-08-29,0.0,0.00012985046966680454,0.0,0.0020845134420836935,0.00153377140467725,1.745566254031143e-05
2016-08-30,8.330594852905503e-05,0.0005980113540682692,0.0,-0.0005923798730190699,0.0006579130469522415,-0.00042248705634958085
2016-08-31,0.0001724757871691223,0.0,0.0,0.0027278030138721205,0.003524779748574686,5.910225605309e-06
2016-09-01,0.0034404888105709305,0.006527845536531338,0.0,0.00012370117528469907,-8.103552264568186e-05,1.4353620915994564e-05
2016-09-02,0.0016162199736659542,0.0007207775847480115,0.00011033074742328561,0.00026629194509853235,0.002134718595346407,0.0015664875347105726
2016-09-05,0.0012496343628226386,0.0005810879450457617,5.826302657683352e-06,0.004633904184692876,0.0012526194996382277,0.006096009052907264
2016-09-06,0.0008937627920016459,7.55489797502891e-05,-5.6363179468813036e-05,0.016367041076667817,0.0017448967331335791,0.0004558767944287495
2016-09-07,0.0012059963646268957,0.003540075738158766,-6.377537805683962e-06,0.0005037448548339211,0.00044632600928637184,-5.160395103080142e-05
2016-09-08,0.00021217353844392152,0.0014400805054708397,0.00010564527335487241,-0.0005431052893930541,0.001964398772064844,-0.00010870671303800829
2016-09-09,0.0030613395351653926,0.0008159908827430912,0.005617093449261055,0.006682465237213297,0.0014787541475358831,0.002534378400786531
2016-09-12,-0.001392600588815657,0.0024081129614610597,7.580710793714067e-05,0.00026194383137210484,0.0002479931542964474,-4.910250969848622e-05
