stock_code,判断准确率,回测起始日期,回测截止日期,总收益率,年化收益率,最大回撤率,最大回撤开始日期,最大回撤结束日期,年化超额收益率,信息比率,总天数,交易天数,交易频率,胜率,盈亏比,夏普比率,年化主动投资收益率
002938,0.4762,2018-12-19,2019-12-31,0.3161,0.3161,0.1066,2019-03-28,2019-05-13,-1.3258,-2.25,252,10,0.04,0.6,1.96,1.05,-0.6196
003816,0.4615,2019-11-26,2019-12-31,-0.0056,-0.053,0.0056,2019-11-26,2019-12-05,-0.1375,-0.84,26,1,0.04,0.0,,-3.87,-0.1498
300014,0.4967,2012-04-09,2019-12-31,2.3308,0.1802,0.2962,2012-04-09,2012-11-19,-0.2636,-0.41,1830,42,0.02,0.5238,1.92,0.47,-0.402
300015,0.4847,2012-04-09,2019-12-31,1.219,0.1136,0.2792,2013-05-30,2015-03-13,-0.3076,-0.66,1867,162,0.09,0.463,1.65,0.37,-0.3326
300033,0.4805,2012-04-09,2019-12-31,-0.7273,-0.1606,0.7684,2012-07-19,2018-12-18,-0.721,-1.09,1871,44,0.02,0.3636,1.21,-0.49,-0.6173
300059,0.5074,2012-04-10,2019-12-31,1.0881,0.1069,0.6648,2015-06-11,2018-09-26,-0.3979,-0.55,1827,56,0.03,0.5536,1.29,0.19,-0.4666
300122,0.4917,2012-04-09,2019-12-31,0.6813,0.0748,0.6137,2013-10-11,2015-09-15,-0.2938,-0.51,1814,105,0.06,0.5524,1.15,0.17,-0.3711
300124,0.4981,2012-04-09,2019-12-31,0.5529,0.0611,0.3538,2013-07-23,2014-10-23,-0.1868,-0.36,1869,131,0.07,0.4504,1.65,0.17,-0.3078
300142,0.5071,2012-04-09,2019-12-31,4.5994,0.308,0.2894,2012-07-20,2013-12-13,-0.0683,-0.14,1617,91,0.06,0.6044,1.61,1.1,-0.1962
300207,0.4894,2012-04-11,2019-12-31,0.6322,0.0697,0.38,2016-09-05,2019-11-18,-0.3004,-0.52,1833,63,0.03,0.4921,1.49,0.22,-0.4086
