stock_code,判断准确率,回测起始日期,回测截止日期,总收益率,年化收益率,最大回撤率,最大回撤开始日期,最大回撤结束日期,年化超额收益率,信息比率,总天数,交易天数,交易频率,胜率,盈亏比,夏普比率,年化主动投资收益率
601328,0.5085,2012-04-10,2019-12-31,0.5238,0.058,0.1949,2015-01-09,2016-02-25,-0.0203,-0.06,1882,103,0.05,0.3786,2.41,0.27,-0.086
601336,0.4709,2012-04-10,2019-12-31,-0.5861,-0.1128,0.6692,2012-05-08,2019-01-23,-0.1914,-0.41,1858,127,0.07,0.2598,2.19,-0.5,-0.3031
601360,0.4848,2012-04-20,2019-12-31,5.3945,0.3065,0.3837,2013-02-28,2014-04-25,0.0717,0.04,1749,103,0.06,0.2816,7.4,0.18,-0.1899
601377,0.4893,2012-04-09,2019-12-31,0.7188,0.0758,0.4058,2015-04-16,2018-10-08,0.0039,0.01,1868,116,0.06,0.2414,4.8,0.11,-0.1546
601390,0.4872,2012-04-09,2019-12-31,1.6778,0.148,0.6305,2015-05-07,2019-12-02,-0.0007,-0.0,1798,98,0.05,0.2755,5.61,0.16,-0.1395
601398,0.5003,2012-04-10,2019-12-31,0.4762,0.0535,0.1949,2015-05-04,2016-02-25,-0.0487,-0.18,1883,103,0.05,0.3204,3.07,0.25,-0.0911
601600,0.4949,2012-04-09,2019-12-31,1.3477,0.1289,0.3279,2017-09-08,2019-11-29,0.2157,0.34,1774,99,0.06,0.2626,4.96,0.24,0.0421
601601,0.4899,2012-04-09,2019-12-31,0.0053,0.0007,0.4602,2015-01-20,2018-12-05,-0.1183,-0.29,1884,118,0.06,0.322,2.28,-0.06,-0.205
601615,0.4556,2019-04-25,2019-12-31,-0.1624,-0.2322,0.2585,2019-04-25,2019-07-08,-0.0497,-0.09,169,7,0.04,0.2857,1.39,-0.82,-0.2411
601618,0.5044,2012-04-09,2019-12-31,2.2364,0.1776,0.4874,2015-05-07,2016-08-11,0.1486,0.22,1810,85,0.05,0.3294,4.35,0.3,-0.0096
601628,0.4657,2012-04-09,2019-12-31,0.5098,0.0567,0.5297,2015-01-20,2018-12-06,-0.0644,-0.14,1883,111,0.06,0.3063,3.06,0.14,-0.1633
601633,0.4763,2012-04-10,2019-12-31,0.7129,0.0756,0.4575,2015-04-03,2018-12-06,-0.046,-0.09,1860,114,0.06,0.2456,4.22,0.18,-0.1891
601668,0.492,2012-04-09,2019-12-31,1.1143,0.1053,0.5683,2015-05-07,2016-06-24,-0.0652,-0.13,1884,110,0.06,0.3091,3.59,0.25,-0.1643
601669,0.5037,2012-04-09,2019-12-31,1.4273,0.1347,0.6507,2015-05-08,2018-11-23,0.1025,0.16,1769,97,0.05,0.3402,3.59,0.23,-0.0541
601688,0.4923,2012-04-09,2019-12-31,1.533,0.1329,0.4982,2014-12-22,2016-03-10,0.0001,0.0,1877,114,0.06,0.2807,4.32,0.21,-0.1649
601689,0.485,2015-06-15,2019-12-31,0.3788,0.0763,0.3796,2017-03-20,2019-01-18,0.1308,0.23,1101,64,0.06,0.3594,2.43,0.19,-0.0917
601698,0.5522,2019-09-23,2019-12-31,-0.053,-0.1852,0.1442,2019-09-23,2019-11-22,0.4554,0.95,67,4,0.06,0.25,2.14,-0.67,0.9032
