stock_code,判断准确率,回测起始日期,回测截止日期,总收益率,年化收益率,最大回撤率,最大回撤开始日期,最大回撤结束日期,年化超额收益率,信息比率,总天数,交易天数,交易频率,胜率,盈亏比,夏普比率,年化主动投资收益率
002008,0.5035,2012-04-09,2019-12-31,1.3209,0.1205,0.4317,2017-11-29,2018-12-12,-0.1574,-0.26,1865,61,0.03,0.459,1.95,0.27,-0.2989
002027,0.5263,2012-04-10,2019-12-31,7.6865,0.3562,0.2935,2018-01-10,2019-04-29,0.1071,0.12,1788,54,0.03,0.5,3.22,0.47,-0.1539
002032,0.5029,2012-04-10,2019-12-31,3.4479,0.2213,0.2118,2017-11-06,2018-10-17,-0.1135,-0.23,1881,53,0.03,0.4717,2.94,0.64,-0.2108
002049,0.4927,2012-04-11,2019-12-31,2.8197,0.2287,0.2743,2013-11-13,2014-05-05,-0.069,-0.1,1640,54,0.03,0.5185,2.03,0.41,-0.2859
002050,0.4938,2012-04-11,2019-12-31,2.1317,0.1767,0.3664,2012-04-11,2012-11-19,-0.0942,-0.16,1768,51,0.03,0.4902,2.04,0.43,-0.2481
002064,0.4821,2012-04-10,2019-12-31,0.2055,0.0255,0.5589,2015-06-23,2018-12-12,-0.0867,-0.17,1869,60,0.03,0.3167,2.8,0.04,-0.2229
002074,0.4904,2012-04-13,2019-12-31,1.0384,0.1133,0.6496,2015-04-22,2018-12-20,-0.043,-0.05,1672,51,0.03,0.3333,3.76,0.12,-0.2387
002120,0.4956,2012-04-11,2019-12-31,5.0407,0.2807,0.3473,2015-06-24,2015-08-25,-0.0305,-0.04,1832,56,0.03,0.4464,3.05,0.44,-0.2317
002129,0.5194,2012-04-10,2019-12-31,2.6344,0.2571,0.4752,2015-06-05,2018-10-10,0.1159,0.11,1421,43,0.03,0.4419,3.42,0.27,-0.1703
002142,0.479,2012-04-10,2019-12-31,1.4892,0.13,0.2746,2018-02-13,2018-11-15,-0.1369,-0.32,1881,66,0.04,0.4242,2.64,0.46,-0.207
002179,0.4843,2012-04-09,2019-12-31,0.8907,0.0894,0.3743,2012-04-09,2014-04-28,-0.1718,-0.3,1875,65,0.03,0.4308,2.14,0.18,-0.2807
002180,0.4894,2012-04-09,2019-12-31,1.767,0.1791,0.4137,2015-06-24,2019-02-01,-0.1234,-0.15,1557,46,0.03,0.3043,4.57,0.25,-0.311
002202,0.4914,2012-04-09,2019-12-31,1.2393,0.1148,0.4628,2015-06-18,2017-04-06,-0.0233,-0.04,1870,60,0.03,0.4667,1.93,0.28,-0.1853
002230,0.4903,2012-04-09,2019-12-31,3.9201,0.2482,0.3076,2015-11-19,2016-03-02,-0.0159,-0.02,1811,56,0.03,0.4821,2.62,0.31,-0.2273
002236,0.4987,2012-04-11,2019-12-31,1.3457,0.1214,0.4515,2013-06-05,2017-01-12,-0.0917,-0.16,1875,54,0.03,0.4074,2.58,0.29,-0.2389
002241,0.4896,2012-04-10,2019-12-31,0.2025,0.0252,0.6116,2013-06-05,2019-01-24,-0.1286,-0.23,1869,61,0.03,0.4426,1.59,0.03,-0.268
002252,0.4918,2012-04-09,2019-12-31,3.4575,0.3064,0.2428,2015-10-29,2019-12-31,0.0354,0.05,1409,46,0.03,0.4565,4.36,0.5,-0.1392
002271,0.5032,2012-04-11,2019-12-31,5.8436,0.2952,0.3629,2015-06-17,2015-12-29,-0.0398,-0.07,1874,58,0.03,0.4828,2.89,0.75,-0.1991
002304,0.4957,2012-04-10,2019-12-31,0.4565,0.0516,0.3216,2012-06-13,2013-12-17,0.003,0.01,1882,65,0.03,0.4308,1.79,0.14,-0.1293
002311,0.4853,2012-04-10,2019-12-31,1.1295,0.1071,0.1637,2012-05-17,2013-04-02,-0.1187,-0.28,1873,58,0.03,0.4828,1.9,0.42,-0.2143
002352,0.4937,2012-04-09,2019-12-31,1.308,0.1214,0.4337,2015-06-23,2015-08-25,-0.1531,-0.14,1839,59,0.03,0.3559,3.81,0.11,-0.2861
002371,0.4915,2012-04-10,2019-12-31,1.3434,0.1257,0.4397,2015-06-23,2016-05-19,-0.1647,-0.22,1813,57,0.03,0.3158,3.72,0.21,-0.3298
002410,0.4786,2012-04-10,2019-12-31,1.2596,0.1178,0.357,2018-06-04,2018-11-26,-0.1212,-0.21,1845,62,0.03,0.4194,2.2,0.3,-0.2847
002414,0.5069,2012-04-10,2019-12-31,0.6823,0.0756,0.5014,2014-02-10,2018-10-11,-0.1152,-0.21,1799,55,0.03,0.3455,2.87,0.18,-0.2599
002415,0.4935,2012-04-10,2019-12-31,2.7691,0.1998,0.2733,2017-12-21,2018-12-24,-0.1192,-0.21,1836,59,0.03,0.4746,2.64,0.45,-0.2292
002459,0.4992,2012-04-10,2019-12-31,-0.6563,-0.1391,0.7526,2015-06-23,2018-11-16,-0.1601,-0.29,1797,53,0.03,0.3019,1.71,-0.45,-0.3181
002460,0.5097,2012-04-09,2019-12-31,7.2104,0.3426,0.5378,2017-09-26,2019-01-30,-0.0232,-0.03,1801,56,0.03,0.4286,3.46,0.46,-0.2573
002466,0.4867,2012-04-09,2019-12-31,0.0687,0.0097,0.5358,2017-09-25,2019-07-16,-0.2621,-0.31,1734,56,0.03,0.3393,2.75,-0.01,-0.4068
002475,0.4882,2012-04-09,2019-12-31,2.5911,0.1887,0.4011,2018-06-04,2018-12-12,-0.3054,-0.53,1864,59,0.03,0.4915,2.21,0.45,-0.3449
002493,0.4848,2012-04-13,2019-12-31,1.0563,0.1016,0.3679,2015-05-07,2015-08-26,-0.0684,-0.11,1877,55,0.03,0.3818,2.72,0.2,-0.2262
002555,0.5047,2012-04-11,2019-12-31,17.8859,0.5871,0.4621,2017-06-30,2018-12-19,0.0578,0.04,1603,53,0.03,0.3774,6.62,0.48,-0.2247
002594,0.4989,2012-04-09,2019-12-31,1.0069,0.0982,0.259,2015-11-23,2017-05-04,0.0233,0.04,1874,55,0.03,0.4182,2.46,0.23,-0.1583
002600,0.4853,2012-04-11,2019-12-31,0.3273,0.0447,0.5985,2015-06-24,2016-03-02,-0.1497,-0.19,1630,56,0.03,0.3571,2.59,0.05,-0.3659
