stock_code,判断准确率,回测起始日期,回测截止日期,总收益率,年化收益率,最大回撤率,最大回撤开始日期,最大回撤结束日期,年化超额收益率,信息比率,总天数,交易天数,交易频率,胜率,盈亏比,夏普比率,年化主动投资收益率
600584,0.4973,2012-04-10,2019-12-31,1.9363,0.1771,0.2788,2017-12-08,2018-11-30,-0.0563,-0.09,1665,69,0.04,0.4058,2.62,0.39,-0.2645
600585,0.4899,2012-04-09,2019-12-31,0.1696,0.0213,0.3441,2012-04-11,2016-06-24,-0.1857,-0.47,1876,99,0.05,0.4141,1.66,0.04,-0.2506
600588,0.4941,2012-04-13,2019-12-31,3.422,0.2226,0.2931,2015-11-18,2016-04-20,-0.0032,-0.0,1864,91,0.05,0.4176,2.71,0.46,-0.2611
600600,0.4801,2012-04-09,2019-12-31,-0.0366,-0.005,0.312,2013-11-11,2016-01-05,-0.0744,-0.22,1883,96,0.05,0.5,1.06,-0.1,-0.1544
600606,0.5012,2012-04-09,2019-12-31,1.519,0.1479,0.6057,2015-06-02,2018-11-08,0.0684,0.09,1688,83,0.05,0.3976,2.96,0.23,-0.1624
600660,0.4912,2012-04-10,2019-12-31,2.4271,0.1792,0.2445,2018-07-18,2019-12-03,-0.0371,-0.1,1883,89,0.05,0.5281,2.05,0.74,-0.1132
600674,0.4851,2012-04-13,2019-12-31,1.0255,0.0993,0.2372,2015-05-25,2018-12-12,-0.0879,-0.26,1878,98,0.05,0.4796,1.94,0.43,-0.1493
600690,0.4972,2012-04-09,2019-12-31,1.9869,0.1661,0.344,2015-05-21,2017-01-20,-0.0657,-0.14,1794,86,0.05,0.4535,2.39,0.51,-0.17
600741,0.4935,2012-04-09,2019-12-31,1.5946,0.1382,0.258,2017-12-25,2019-01-04,-0.0557,-0.13,1856,82,0.04,0.5,1.81,0.47,-0.1597
600745,0.4776,2012-04-10,2019-12-31,1.8557,0.2071,0.5847,2015-06-30,2018-12-18,-0.262,-0.26,1405,58,0.04,0.3621,3.52,0.22,-0.3939
600760,0.4952,2012-04-09,2019-12-31,5.0364,0.2889,0.3274,2017-04-17,2018-01-16,0.0734,0.06,1785,86,0.05,0.4767,3.38,0.27,-0.2091
600763,0.4881,2012-04-10,2019-12-31,1.8369,0.1643,0.3906,2015-05-19,2017-07-18,-0.2443,-0.43,1727,98,0.06,0.4796,1.94,0.37,-0.3049
600795,0.4813,2012-04-10,2019-12-31,0.2938,0.0363,0.4302,2015-06-12,2019-09-24,0.0089,0.02,1818,91,0.05,0.3516,2.63,0.06,-0.0787
600803,0.479,2012-05-14,2019-12-31,-0.2398,-0.0379,0.4545,2016-05-06,2018-07-16,-0.0492,-0.09,1787,86,0.05,0.3023,2.3,-0.17,-0.2334
600809,0.4837,2012-04-10,2019-12-31,0.05,0.0066,0.655,2012-06-05,2016-04-21,-0.1473,-0.27,1871,93,0.05,0.4516,1.42,-0.02,-0.2768
600837,0.4857,2012-04-09,2019-12-31,0.5956,0.0646,0.365,2016-04-20,2018-10-11,-0.0188,-0.03,1882,92,0.05,0.3913,2.36,0.12,-0.1632
600845,0.4912,2012-04-10,2019-12-31,1.4847,0.1345,0.3805,2015-12-02,2017-12-06,-0.123,-0.2,1818,99,0.05,0.3838,2.64,0.31,-0.2818
600884,0.4946,2012-04-09,2019-12-31,0.983,0.0971,0.4155,2017-10-12,2019-11-08,-0.0173,-0.03,1862,84,0.05,0.4286,2.1,0.19,-0.2134
600886,0.4849,2012-04-10,2019-12-31,1.1718,0.1133,0.3135,2015-05-18,2018-11-30,-0.1105,-0.27,1821,88,0.05,0.4773,1.93,0.32,-0.1626
600887,0.4973,2012-04-10,2019-12-31,1.2658,0.1175,0.392,2015-05-21,2016-01-18,-0.1197,-0.24,1856,99,0.05,0.4343,2.12,0.28,-0.2032
600893,0.488,2012-04-11,2019-12-31,0.0766,0.0107,0.5291,2015-07-22,2019-02-01,-0.0484,-0.08,1752,84,0.05,0.3571,2.25,-0.01,-0.2172
600900,0.4949,2012-04-09,2019-12-31,1.5931,0.1448,0.2417,2013-02-25,2014-04-30,-0.0697,-0.24,1776,87,0.05,0.4598,2.81,0.58,-0.0932
600919,0.5239,2016-11-03,2019-12-31,-0.0511,-0.017,0.2083,2016-12-13,2018-10-11,0.061,0.29,773,38,0.05,0.3158,1.97,-0.28,0.0287
600926,0.4861,2017-01-20,2019-12-31,0.0122,0.0043,0.1848,2017-05-04,2018-09-17,0.0127,0.05,718,34,0.05,0.3824,1.74,-0.08,-0.0451
600958,0.5113,2015-06-17,2019-12-31,-0.3256,-0.0861,0.489,2015-12-07,2018-10-09,0.1489,0.32,1103,47,0.04,0.3617,1.27,-0.47,0.0086
600989,0.5464,2019-08-09,2019-12-31,-0.0428,-0.1074,0.0457,2019-08-09,2019-12-24,-0.0039,-0.02,97,4,0.04,0.25,0.2,-1.89,-0.0479
600999,0.5091,2012-04-09,2019-12-31,2.199,0.1691,0.3108,2017-10-18,2018-10-12,0.086,0.13,1876,95,0.05,0.4421,2.54,0.29,-0.0819
601006,0.4942,2012-04-09,2019-12-31,0.4872,0.0546,0.2942,2015-06-23,2016-06-27,-0.02,-0.06,1882,95,0.05,0.3895,2.32,0.19,-0.093
601009,0.4909,2012-04-09,2019-12-31,1.4278,0.1265,0.23,2013-02-27,2014-04-22,-0.0567,-0.14,1876,96,0.05,0.4896,2.09,0.44,-0.1376
601012,0.5112,2012-07-11,2019-12-31,16.1771,0.495,0.3558,2017-12-07,2018-09-06,0.0272,0.04,1782,81,0.05,0.4691,3.86,0.79,-0.2162
601021,0.48,2015-04-23,2019-12-31,-0.2317,-0.0574,0.4826,2015-06-16,2018-12-07,-0.0246,-0.06,1123,58,0.05,0.3621,1.56,-0.29,-0.1517
601066,0.5,2018-09-12,2019-12-31,1.0099,0.7449,0.3602,2019-04-04,2019-07-12,-1.2275,-0.88,316,14,0.04,0.4286,4.92,0.6,-0.6169
601088,0.4874,2012-04-09,2019-12-31,0.0037,0.0005,0.3928,2015-05-07,2016-06-14,-0.0151,-0.04,1820,100,0.05,0.41,1.56,-0.07,-0.1082
601100,0.4862,2012-04-09,2019-12-31,0.9599,0.0963,0.348,2018-02-14,2019-01-03,-0.1768,-0.32,1845,88,0.05,0.4318,2.07,0.22,-0.2782
601111,0.4805,2012-04-10,2019-12-31,0.863,0.0886,0.3753,2017-12-19,2019-10-21,0.0074,0.01,1846,88,0.05,0.3977,2.53,0.13,-0.1409
601117,0.4894,2012-04-10,2019-12-31,0.2349,0.0287,0.3361,2015-05-18,2019-01-24,0.01,0.02,1880,74,0.04,0.473,1.4,0.06,-0.1281
601138,0.5139,2018-09-03,2019-12-31,-0.1114,-0.088,0.1718,2019-03-26,2019-08-05,-0.283,-0.58,323,15,0.05,0.2667,2.04,-0.49,-0.3693
601155,0.4946,2016-03-18,2019-12-31,1.2522,0.2479,0.3712,2018-02-09,2018-12-18,-0.2006,-0.3,924,42,0.05,0.381,3.37,0.46,-0.2919
601166,0.4979,2012-04-17,2019-12-31,0.857,0.0868,0.3134,2013-03-05,2014-07-10,-0.0745,-0.2,1874,80,0.04,0.4375,2.2,0.27,-0.137
601169,0.4834,2012-04-16,2019-12-31,0.1844,0.0235,0.2925,2013-02-27,2014-05-06,-0.0661,-0.2,1839,83,0.05,0.3976,1.9,0.05,-0.1267
601186,0.5011,2012-04-10,2019-12-31,2.8977,0.2005,0.4424,2015-05-19,2019-11-12,0.0493,0.06,1876,89,0.05,0.4607,2.84,0.26,-0.1158
601211,0.488,2015-09-22,2019-12-31,-0.0795,-0.0198,0.2992,2015-12-04,2018-10-09,-0.0245,-0.07,1043,45,0.04,0.4889,0.99,-0.23,-0.1115
601216,0.4946,2012-04-09,2019-12-31,1.0676,0.1095,0.3991,2013-08-02,2014-06-19,-0.0174,-0.02,1761,84,0.05,0.3929,2.75,0.16,-0.234
601225,0.4812,2014-04-30,2019-12-31,0.4193,0.0657,0.4167,2015-08-11,2016-05-11,-0.1208,-0.21,1386,66,0.05,0.4242,1.91,0.14,-0.268
601229,0.5256,2017-02-16,2019-12-31,0.2016,0.0679,0.0827,2018-06-19,2019-05-08,0.0624,0.28,704,28,0.04,0.5357,1.65,0.56,0.018
601236,0.5,2019-09-30,2019-12-31,0.0559,0.2474,0,2019-09-30,2019-09-30,-0.3562,-0.86,62,2,0.03,1.0,,2.31,-0.3424
601238,0.4882,2012-07-03,2019-12-31,-0.1775,-0.0267,0.4323,2015-07-17,2019-12-27,-0.1771,-0.39,1817,100,0.06,0.39,1.58,-0.16,-0.2665
601288,0.4854,2012-04-10,2019-12-31,0.7436,0.0772,0.1526,2015-05-07,2015-07-29,-0.0301,-0.11,1883,77,0.04,0.5065,1.82,0.37,-0.0757
601318,0.5106,2012-04-10,2019-12-31,2.8711,0.1987,0.2604,2015-05-21,2015-10-08,-0.0471,-0.1,1882,94,0.05,0.5426,2.04,0.57,-0.1303
601319,0.5116,2019-02-19,2019-12-31,0.4383,0.5311,0.1077,2019-04-17,2019-07-10,0.2886,0.36,215,7,0.03,0.5714,3.58,0.8,-0.0355
601328,0.5143,2012-04-10,2019-12-31,0.9627,0.0945,0.1569,2015-07-06,2015-10-08,0.0162,0.05,1882,74,0.04,0.4324,2.61,0.38,-0.0531
601336,0.4925,2012-04-10,2019-12-31,1.134,0.1083,0.3582,2013-02-01,2014-04-25,0.0297,0.05,1858,87,0.05,0.4828,1.79,0.19,-0.1251
601360,0.5152,2012-04-20,2019-12-31,12.1736,0.4499,0.3139,2013-06-13,2014-08-29,0.2151,0.15,1749,76,0.04,0.4737,5.66,0.31,-0.0998
601377,0.515,2012-04-09,2019-12-31,1.9966,0.1596,0.4814,2015-12-07,2018-10-09,0.0877,0.13,1868,90,0.05,0.4222,2.74,0.27,-0.0931
601390,0.4989,2012-04-09,2019-12-31,2.2649,0.1804,0.5468,2015-05-28,2019-09-26,0.0317,0.04,1798,83,0.05,0.4217,3.43,0.21,-0.114
601398,0.5072,2012-04-10,2019-12-31,0.9355,0.0924,0.1454,2013-02-21,2014-02-25,-0.0098,-0.04,1883,89,0.05,0.4944,2.14,0.47,-0.0557
601600,0.5023,2012-04-09,2019-12-31,0.5934,0.0684,0.4347,2015-06-17,2016-10-13,0.1552,0.29,1774,88,0.05,0.3864,2.34,0.17,-0.0193
601601,0.4883,2012-04-09,2019-12-31,0.2697,0.0325,0.4564,2017-11-30,2018-11-12,-0.0865,-0.19,1884,85,0.05,0.3765,2.18,0.05,-0.1764
601615,0.4556,2019-04-25,2019-12-31,-0.1209,-0.1748,0.238,2019-04-25,2019-07-18,0.0077,0.02,169,8,0.05,0.375,1.05,-0.64,-0.1717
601618,0.526,2012-04-09,2019-12-31,1.5141,0.137,0.4123,2015-05-28,2019-10-09,0.108,0.18,1810,85,0.05,0.4471,2.64,0.27,-0.0451
601628,0.4764,2012-04-09,2019-12-31,0.9462,0.0932,0.4344,2015-05-08,2018-11-20,-0.0279,-0.04,1883,96,0.05,0.375,3.01,0.15,-0.1342
601633,0.5048,2012-04-10,2019-12-31,3.9996,0.2436,0.3077,2017-07-11,2018-12-06,0.122,0.22,1860,79,0.04,0.4304,3.2,0.56,-0.0555
601668,0.5143,2012-04-09,2019-12-31,1.5643,0.1342,0.2797,2017-07-12,2019-09-26,-0.0363,-0.07,1884,85,0.05,0.4588,2.36,0.3,-0.1409
601669,0.5229,2012-04-09,2019-12-31,2.7995,0.2094,0.181,2019-04-03,2019-12-24,0.1772,0.26,1769,84,0.05,0.4286,3.84,0.33,0.0021
601688,0.4944,2012-04-09,2019-12-31,0.9074,0.0906,0.383,2015-05-22,2018-10-09,-0.0422,-0.06,1877,75,0.04,0.4,2.62,0.13,-0.1931
601689,0.4959,2015-06-15,2019-12-31,-0.2283,-0.0576,0.528,2016-07-21,2019-02-14,-0.0031,-0.01,1101,58,0.05,0.4655,1.13,-0.21,-0.2057
601698,0.4925,2019-09-23,2019-12-31,-0.2013,-0.5706,0.2219,2019-09-23,2019-11-22,0.07,0.11,67,4,0.06,0.25,0.35,-1.47,-0.0397
601766,0.5078,2012-04-09,2019-12-31,2.089,0.1713,0.2711,2015-06-15,2019-12-24,0.0755,0.11,1798,81,0.05,0.3951,3.87,0.29,-0.0817
601788,0.4973,2012-04-10,2019-12-31,1.2101,0.1128,0.4247,2012-05-22,2014-07-09,0.0923,0.11,1870,87,0.05,0.3678,3.42,0.13,-0.0916
601799,0.4867,2012-04-10,2019-12-31,4.7393,0.2709,0.2104,2014-03-11,2014-06-20,-0.0878,-0.16,1837,100,0.05,0.46,2.78,0.69,-0.2262
601800,0.5087,2012-06-11,2019-12-31,0.8071,0.0843,0.5343,2015-05-08,2019-12-24,-0.0294,-0.04,1842,79,0.04,0.3924,2.73,0.11,-0.1744
601808,0.4798,2012-04-09,2019-12-31,-0.4959,-0.0875,0.7396,2015-05-27,2019-01-29,-0.1189,-0.27,1884,103,0.05,0.3981,1.2,-0.39,-0.2318
601818,0.5077,2012-04-09,2019-12-31,1.5495,0.1342,0.1743,2015-05-08,2015-07-22,0.0229,0.06,1873,73,0.04,0.5068,2.35,0.51,-0.0567
601838,0.5074,2018-05-08,2019-12-31,-0.2573,-0.1686,0.2755,2018-05-21,2019-09-24,-0.1095,-0.33,406,23,0.06,0.4348,0.4,-1.36,-0.1948
601857,0.4849,2012-04-09,2019-12-31,-0.2332,-0.0349,0.4722,2015-05-08,2016-09-13,0.0058,0.02,1883,83,0.04,0.3735,1.51,-0.23,-0.0483
601865,0.5223,2019-05-16,2019-12-31,0.025,0.0404,0.1185,2019-05-16,2019-07-10,-0.0131,-0.02,157,4,0.03,0.25,3.98,0.11,-0.2457
601877,0.4757,2012-04-10,2019-12-31,-0.0689,-0.0102,0.3896,2017-11-30,2019-12-04,-0.172,-0.42,1747,84,0.05,0.4048,1.52,-0.12,-0.2518
