,BackTrend,DoubleMA,LLT,Reverse,RUMI,VNSP
2021-07-23,4.7298738317034734e-06,-0.000690581352699417,-0.005864621131178829,-0.00011982944898725789,0.0816729290387595,0.0018328446727576666
2021-07-26,-0.0014169881150739975,0.0,-0.007619619604347984,0.003966155025127013,0.0005867440284422314,-0.023850957789070773
2021-07-27,-0.006665082221544757,-0.00010076213427989972,-0.009499118879345899,6.181618330692066e-06,-0.0010959922563505867,0.0
2021-07-28,-0.0031683600682687594,-0.00034011822692150333,-0.002149398740617694,0.0,0.0,-0.0009166854227981706
2021-07-29,1.6633355466730305e-05,-0.01531013092699234,0.0,0.0,-0.0007599247519388901,0.0
2021-07-30,-0.01809765671096708,0.0,-0.00010578276087074393,0.0,0.0,0.0027625861107759982
2021-08-02,0.0,-0.0019377278706054278,0.0,0.00024793588780687274,0.0,0.0006318520696749123
2021-08-03,-0.003714046366383196,0.0,-0.0004974318059464059,-0.0003969911124935563,0.0,0.0008485052497947777
2021-08-04,0.0006199206484635742,0.0,0.0,-3.84982735504038e-05,-0.0003533663380916245,-0.00013997129426725842
2021-08-05,-2.6839535834864996e-05,0.0,-9.059169397720625e-05,0.0,-0.015242646544584775,0.027225563528770466
2021-08-06,0.0,0.0,-0.0004947618803896915,0.0,0.0,0.0
2021-08-09,0.00045275718541114035,0.0,-0.00019990063398549825,0.00015759363373152318,-0.002874211347660567,0.0021055785667786647
2021-08-10,0.0,0.0,0.0002076998707806846,0.00011792111302026219,0.0,-0.00010832159834521412
2021-08-11,0.0002927074687447155,0.00037216850700261175,0.0,0.0003607620261546455,0.0,0.0055733979778124195
2021-08-12,0.0,0.0,-0.002821192006090267,0.001463141958779859,0.00630781134516874,0.00048041080391611056
2021-08-13,0.0026753530910951302,0.0,-3.617309337810345e-05,0.002901886872685473,0.0,0.0
2021-08-16,0.0,0.0,0.00809125200154232,0.0012438976335028445,0.0,0.002677109207844811
2021-08-17,-0.0007088677841161578,-0.004233421893735271,-0.006847331381465987,-0.00031397026767901096,0.0,-0.0005319774856385937
2021-08-18,-0.0023023805117572014,-0.0002015363603250363,-0.0022061093924511136,2.1811269608961826e-05,0.0,0.004769060100108451
2021-08-19,-0.00027941273730999804,-0.00034408609359667047,0.0,0.0,0.0,0.001085313132097153
2021-08-20,4.880670887564848e-05,-0.0025657239337421745,-0.0019734621349418286,-5.2618269137331064e-05,0.0,0.0015690794100874242
2021-08-23,-0.005317497695031859,0.01394799280957587,-0.00024113389160297177,8.943424909647104e-05,-0.0019266530772979037,0.00014760705755230167
2021-08-24,0.0,0.0,0.0,0.0017675037962726126,0.0,0.0
2021-08-25,0.0,0.0,0.0,0.0003153246979099018,-0.0005674734484817405,4.745786970816927e-05
2021-08-26,-3.655454276785747e-18,-0.0008475701549094234,-0.010924782581554052,0.0,-0.000361157193759976,0.0
2021-08-27,-0.0018807493221100105,0.046096327172638125,-0.0014907778892582987,0.0,0.0,0.0
2021-08-30,-1.2254445081645369e-05,-0.009705552672369262,0.009256500458649236,9.081131646906171e-05,0.0,0.006086293945457721
2021-08-31,0.003892450639122535,0.0,0.0,0.0,0.0,-0.010562191304854142
2021-09-01,-0.00029149489234306467,0.0,0.00016379451192575383,0.0010557318866479778,0.0,-0.00013134549225390994
2021-09-02,0.0004610547830394075,0.0,-0.0033216897768979913,0.0001465352676748681,-0.02095860164736922,4.3549165765423604e-05
2021-09-03,0.0,0.0,-0.0011253652341267025,0.0,-0.006386769883451145,-0.020696561650591253
2021-09-06,0.000992312396643659,0.0,0.0,-0.0008241588458517214,1.694476728896155e-05,0.0035788357218752022
2021-09-07,0.007110604316071427,0.0029811419460879346,0.0,0.00030700263862508073,0.0,-0.0009409524712673456
2021-09-08,2.4387384648532415e-05,0.0,0.0015294871915987778,-0.00033735992306619235,0.0,-0.0009166703908979105
2021-09-09,6.351825638826972e-05,0.0,-0.006872060774799627,-1.0137221063564767e-05,0.0,-0.006648958658368494
2021-09-10,0.0,0.0,0.00046182704807659305,0.0,-0.00023163919119061614,0.001522619330174499
2021-09-13,-0.001082665105125729,0.0,-0.00022212863520393365,0.0,0.0,0.005632291513668665
2021-09-14,-0.0003249173223691614,-0.001236028678770991,-0.007783061806600051,0.0,0.0,0.0011571818555188374
2021-09-15,-0.0031959145351020605,-4.897590372777939e-06,0.013130573858556155,0.0,0.0,0.000471663275359023
2021-09-16,0.0,-0.0011918878541120627,0.019768392405248178,0.0,0.0,0.0018451644192803598
2021-09-17,-0.0008497625259405264,0.0,0.0026790751253146,0.0,0.0,0.005577782996146709
2021-09-22,-0.00020417750555337178,-0.0005193456428159717,0.0,0.0037891127211170774,-0.001005023591565802,0.0005812744207349325
2021-09-23,1.2067051056120111e-05,0.0,0.0,0.0,0.0,0.008647962308500033
2021-09-24,0.0,-0.011637822324334449,0.00253831725756584,0.0,-0.00022089225978271624,0.0
2021-09-27,-0.0006288062923608397,0.0008191129617864526,0.005931709507042894,0.0,0.0,0.0
2021-09-28,0.0006282658681830195,-5.815107790541596e-05,0.0007228590962866109,0.0016996582592614204,0.0,-0.004193322947217586
2021-09-29,0.0,-0.00012795399925895736,-0.0007563477861578628,0.0,-0.0015222890752608182,-0.0002989837474788789
2021-09-30,-9.653457093949338e-05,0.019020929011466944,0.0,0.0,-0.00023830903799909142,0.0022390711421203103
2021-10-08,0.0,0.0,0.0,0.0024661599638469,0.00026251994614905435,0.005155850680833555
2021-10-11,0.01193519090026168,0.014985626561976176,0.0007017442731448556,3.286662257638763e-05,-0.00022103759636910988,0.0019380382946881118
2021-10-12,0.02154304198277386,0.0,-0.004379261928232755,-0.0004638175955582393,-5.069850180665225e-05,0.009970542562964101
2021-10-13,0.0023490996997870056,0.0,-0.0002458361421344891,0.0046306404399651295,0.010904942772808218,0.04864946712702993
2021-10-14,0.01973250374627609,0.0011791296749727464,-7.080690137853259e-05,0.0,0.0,-0.004706314591551688
2021-10-15,-0.003336919283473612,0.015418567284295425,0.0035955544464497504,0.0,0.0021485069858831,0.0
2021-10-18,0.0016577615839907407,-0.0012109534162211583,-6.866960017612497e-05,4.6559305782902064e-05,0.0026582131757275024,0.006874282318808138
2021-10-19,0.0,0.0,0.01199797304101034,0.0,0.0,-0.015061283838511224
2021-10-20,0.008622634773106699,0.0,-0.0025911099994619627,0.0,0.0,0.0
2021-10-21,0.0004441880035433183,0.003776628657377326,-0.0002714996724894676,0.0,0.0019338888262753872,-0.005255330632248033
2021-10-22,0.0,0.0,-0.0024349120689076066,0.0,0.019641055617275794,-0.0007079803975226856
2021-10-25,-9.348609937252005e-05,0.0,-0.0021915942946591277,-0.002124015074334919,0.0,0.00013891154937606013
2021-10-26,-7.389386366101471e-06,-0.0010361107846654587,-0.004222428252038847,0.0,0.0,0.0016138110900993118
2021-10-27,0.0007809135157789654,-0.00039051044147314764,-0.002451856199236193,-0.00246128633208744,0.0,-0.011933451031026122
2021-10-28,0.001483170417609857,-0.0008587440143369816,-0.0022711597807937335,-0.006234701127972262,0.001823697344548119,-0.00228558216610389
2021-10-29,-0.0002545076759055914,-4.3905876483808655e-05,0.004178981556668654,0.0004897049823901031,0.0007330696711061754,0.003667744409586993
2021-11-01,0.0,0.0,-0.0008459422663152312,-0.0004974585577427954,0.00014176337667563246,0.0
2021-11-02,-0.013950179727880287,-0.003721681525777948,-0.004189676916886468,-0.0009197121554427423,0.0,-0.0004748000698018333
2021-11-03,-0.001062436133081115,-0.0054541294099027405,0.0,-0.0055685162050980366,-0.03377636160176008,0.0
2021-11-04,-0.009149954765324026,-0.00048010648222336817,2.7038298292907106e-05,0.0,0.0,0.05994071385250065
2021-11-05,0.0,0.0,-0.002930645875521018,0.0,-4.3457896151045326e-05,-0.002399017655987127
2021-11-08,-0.0010242849716954013,-0.0034410599748365355,-2.6957737616526364e-05,0.0,0.0,-0.00015188880693794076
2021-11-09,5.490138710937818e-05,-0.0006238911826873393,0.0,0.004695739307159245,-5.136095512542573e-06,0.0
2021-11-10,0.0,-0.0006363659959221974,-0.002753358658067329,-0.0004287485414659144,-0.010884774245554235,0.0
2021-11-11,0.004029822460164737,0.0,0.048735488657392016,0.0,-0.0010244216375309956,-0.00029316925749630794
2021-11-12,0.0,0.003388353979944227,0.0,1.396412054924513e-05,0.0,0.0011773318341998036
2021-11-15,0.0,0.0,0.0,0.0,0.0,-0.0011572878279622143
2021-11-16,-3.487748851149506e-05,0.0,-2.886761872880625e-05,-0.0008319239408747547,0.0,0.0
2021-11-17,-0.0002841189704129494,0.01006152461181925,0.004527034967631238,0.002401742038911169,0.0,0.00017511158398565306
2021-11-18,0.0,0.0,-9.980276479189189e-05,0.0018825146345792874,0.0,0.0
2021-11-19,0.0,0.0,8.204539103413487e-05,0.005210878972388312,0.0,-0.007251886417612252
2021-11-22,0.018934385545568103,3.8143910582192573e-06,0.002040078009380694,0.0,0.0,0.011104318471459379
2021-11-23,0.0,0.0,-2.9857875898292196e-05,-5.739774742358671e-06,0.01605435718123725,0.003060781858960402
2021-11-24,0.0,0.0,0.0,-0.0059039670481107346,0.0,-0.0002462288266975146
2021-11-25,-1.4892018884812719e-05,-6.70707402562558e-05,-0.009350752622056433,0.0,0.0,0.0011955015667234766
